Nose_x,Nose_y,LeftEye_x,LeftEye_y,RightEye_x,RightEye_y,LeftEar_x,LeftEar_y,RightEar_x,RightEar_y,LeftShoulder_x,LeftShoulder_y,RightShoulder_x,RightShoulder_y,LeftElbow_x,LeftElbow_y,RightElbow_x,RightElbow_y,LeftWrist_x,LeftWrist_y,RightWrist_x,RightWrist_y,LeftHip_x,LeftHip_y,RightHip_x,RightHip_y,LeftKnee_x,LeftKnee_y,RightKnee_x,RightKnee_y,LeftAnkle_x,LeftAnkle_y,RightAnkle_x,RightAnkle_y,IsArmStretch,IsLegStretch,IsLegClose,IsKneeStop,IsChinOver,PullUpCount,TryCount
310.9121,452.88086,321.26367,442.5293,295.38477,442.5293,341.9668,458.05664,279.85742,458.05664,367.8457,489.11133,264.33008,499.4629,404.07617,411.4746,222.92383,406.29883,429.95508,328.6621,202.2207,318.31055,357.49414,696.1426,285.0332,701.31836,378.19727,846.24023,305.73633,846.24023,373.02148,949.75586,321.26367,960.1074,1.0,1.0,1.0,1.0,0.0,0.0,0
310.4121,448.70508,320.76367,443.5293,294.88477,443.5293,341.4668,453.88086,279.35742,459.05664,367.3457,490.11133,263.83008,495.2871,403.57617,412.4746,222.42383,407.29883,429.45508,329.6621,201.7207,319.31055,356.99414,691.9668,284.5332,702.31836,377.69727,847.24023,310.4121,847.24023,372.52148,945.5801,315.5879,955.93164,1.0,1.0,1.0,1.0,0.0,0.0,0
305.7461,454.64453,321.2539,444.306,295.40756,444.306,341.931,454.64453,279.89975,459.8138,367.77734,490.82944,264.39194,495.9987,403.96225,408.1211,223.03777,408.1211,429.8086,325.41275,202.36067,320.2435,357.4388,692.43097,285.069,702.76953,372.94662,847.5091,305.7461,852.6784,372.94662,950.89453,316.08463,956.0638,1.0,1.0,1.0,1.0,0.0,0.0,0
310.4121,448.70508,320.76367,443.5293,294.88477,443.5293,341.4668,453.88086,279.35742,459.05664,367.3457,490.11133,263.83008,495.2871,403.57617,407.29883,222.42383,407.29883,429.45508,329.6621,201.7207,319.31055,356.99414,697.1426,284.5332,702.31836,372.52148,847.24023,305.23633,852.416,372.52148,955.93164,315.5879,966.2832,1.0,1.0,1.0,1.0,0.0,0.0,1
310.89258,450.08398,321.32227,439.6543,295.24805,439.6543,342.18164,455.29883,279.60352,460.51367,368.25586,491.80273,263.95898,491.80273,404.75977,408.36523,222.24023,408.36523,430.83398,324.92773,201.38086,319.7129,357.82617,695.18164,284.81836,700.3965,373.4707,846.4121,305.67773,851.62695,373.4707,961.1387,316.10742,966.3535,1.0,1.0,1.0,1.0,0.0,0.0,1
310.4056,448.1647,320.7832,442.97592,294.8392,442.97592,341.53842,453.35352,279.2728,458.54233,367.48242,489.67514,263.7064,494.86392,403.80405,411.8431,222.19597,406.6543,429.74805,328.82227,201.44075,318.44467,357.10483,692.0384,284.46158,702.416,372.67123,847.70245,305.2168,852.8913,372.67123,961.85614,315.5944,972.2337,1.0,1.0,1.0,1.0,0.0,0.0,1
306.2168,449.1647,321.7832,438.7871,295.8392,438.7871,342.53842,454.35352,280.2728,454.35352,368.48242,490.67514,264.7064,495.86392,404.80405,407.6543,223.19597,407.6543,430.74805,324.63345,202.44075,319.44467,358.10483,693.0384,285.46158,698.22723,373.67123,848.70245,301.02798,848.70245,373.67123,962.85614,311.4056,968.0449,1.0,1.0,1.0,1.0,0.0,0.0,1
306.1875,448.85416,321.8125,438.4375,295.77084,438.4375,342.64584,454.0625,280.14584,454.0625,368.6875,490.52084,264.52084,495.72916,405.14584,407.1875,222.85417,407.1875,431.1875,323.85416,202.02083,318.64584,358.27084,693.6458,285.35416,698.8542,373.89584,849.8958,300.97916,849.8958,368.6875,969.6875,311.39584,969.6875,1.0,1.0,1.0,1.0,0.0,0.0,1
305.7168,448.1647,321.2832,437.7871,295.3392,437.7871,342.03842,453.35352,279.7728,453.35352,367.98242,489.67514,264.2064,494.86392,404.30405,411.8431,222.69597,401.46548,430.24805,323.63345,201.94075,318.44467,357.60483,692.0384,284.96158,702.416,367.98242,847.70245,295.3392,847.70245,362.7936,972.2337,310.9056,972.2337,1.0,1.0,1.0,1.0,0.0,0.0,1
305.70703,448.39453,316.09766,438.0039,295.3164,438.0039,342.07422,453.58984,279.73047,453.58984,368.05078,489.95703,264.14453,495.15234,404.41797,412.02734,222.58203,401.63672,430.39453,323.70703,201.80078,318.51172,357.66016,692.5742,284.92578,697.76953,368.05078,848.4336,295.3164,843.2383,357.66016,973.1211,310.90234,973.1211,1.0,1.0,1.0,1.0,0.0,0.0,1
